step,tokens,train_loss,val_loss,lr,tok_per_sec
2790,731381760,3.3394,,2.984256e-04,124847
2800,734003200,3.3243,,2.984080e-04,124869
2810,736624640,3.3327,,2.983903e-04,124866
2820,739246080,3.3445,,2.983725e-04,124884
2830,741867520,3.3541,,2.983546e-04,124931
2840,744488960,3.3461,,2.983366e-04,124933
2850,747110400,3.3252,,2.983185e-04,125034
2860,749731840,3.3525,,2.983003e-04,124739
2870,752353280,3.3396,,2.982820e-04,124670
2880,754974720,3.3396,,2.982636e-04,124572
2890,757596160,3.3214,,2.982451e-04,124489
2900,760217600,3.3330,,2.982265e-04,124447
2910,762839040,3.3212,,2.982078e-04,124689
2920,765460480,3.3164,,2.981890e-04,124328
2930,768081920,3.3188,,2.981702e-04,124401
2940,770703360,3.3489,,2.981512e-04,124794
2950,773324800,3.3846,,2.981321e-04,124640
2960,775946240,3.3345,,2.981129e-04,124348
2970,778567680,3.3428,,2.980937e-04,124459
2980,781189120,3.3240,,2.980743e-04,124808
2990,783810560,3.3026,,2.980548e-04,124569
3000,786432000,3.3073,,2.980353e-04,124650
3000,786432000,,3.3193,2.980353e-04,
3010,789053440,3.3203,,2.980156e-04,127325
3020,791674880,3.3278,,2.979959e-04,125417
3030,794296320,3.3197,,2.979760e-04,124855
3040,796917760,3.3312,,2.979561e-04,124939
3050,799539200,3.3248,,2.979360e-04,124719
3060,802160640,3.3266,,2.979159e-04,124613
3070,804782080,3.3042,,2.978956e-04,124564
3080,807403520,3.3134,,2.978753e-04,125296
3090,810024960,3.3246,,2.978548e-04,125447
3100,812646400,3.3051,,2.978343e-04,125549
3110,815267840,3.3092,,2.978137e-04,125388
3120,817889280,3.3102,,2.977930e-04,124034
3130,820510720,3.3101,,2.977721e-04,123643
3140,823132160,3.3281,,2.977512e-04,125087
3150,825753600,3.3233,,2.977302e-04,124929
3160,828375040,3.3036,,2.977091e-04,125455
3170,830996480,3.2967,,2.976879e-04,125379
3180,833617920,3.2999,,2.976666e-04,125212
3190,836239360,3.3218,,2.976452e-04,125130
3200,838860800,3.3012,,2.976237e-04,124397
3210,841482240,3.3061,,2.976021e-04,125362
3220,844103680,3.3083,,2.975804e-04,125361
3230,846725120,3.3129,,2.975586e-04,125507
